model,model_label,stage,side,metric,test,immrep,immrep_minus_test,rel_change,immrep_minus_test_ci_low,immrep_minus_test_ci_high
lora_esmc_vicreg,LoRA ESMC + VICReg,input,pmhc,median_pairwise_cosine,2.1395130184051172e-06,4.9960036108132046e-17,-2.139513018355157e-06,-0.9999999999766488,,
lora_esmc_vicreg,LoRA ESMC + VICReg,input,tcr,cliffs_delta_pn_vs_pp,0.23625223351097244,0.13182561932528114,-0.1044266141856913,,-0.21666732304693967,0.01480934780598805
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,tcr,covariance_trace,3.9197771006619746,2.821141275736019,-1.0986358249259558,-0.2802801783653508,,
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,tcr,median_pairwise_cosine,0.8538919944935934,0.4641554881121527,-0.38973650638144075,-0.4564236564983569,,
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,peptide,covariance_trace,8.151090137042525e-09,0.0,-8.151090137042525e-09,-1.0,,
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,peptide,median_pairwise_cosine,-3.121393807252836e-17,-3.33066907387547e-17,-2.0927526662263396e-18,-2.0927526662263396e-06,,
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,hla,covariance_trace,0.013955124340442653,0.0,-0.013955124340442653,-1.0,,
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,hla,median_pairwise_cosine,0.0023081342198818123,-2.2204460492503132e-17,-0.0023081342198818344,-1.0000000000000095,,
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,pmhc,covariance_trace,0.013955132491532789,0.0,-0.013955132491532789,-1.0,,
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,pmhc,median_pairwise_cosine,0.0013976946836970466,-6.6613381477509405e-18,-0.0013976946836970533,-1.0000000000000049,,
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,tcr,cliffs_delta_pn_vs_pp,0.4070370752245715,0.11377352769679298,-0.2932635475277785,,-0.40333037104104547,-0.17749134645889686
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,tcr,covariance_trace,30.38067954147471,14.814130049723747,-15.566549491750962,-0.5123831897999522,,
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,tcr,median_pairwise_cosine,0.9301712380322967,0.3228931967553139,-0.6072780412769828,-0.65286693078323,,
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,peptide,covariance_trace,1.2895427996565602e-08,0.0,-1.2895427996565602e-08,-1.0,,
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,peptide,median_pairwise_cosine,-1.8160836696743775e-17,-5.329070518200751e-17,-3.5129868485263737e-17,-3.5129868485263735e-05,,
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,hla,covariance_trace,0.026460367467211855,0.0,-0.026460367467211855,-1.0,,
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,hla,median_pairwise_cosine,0.0012795594296597112,4.4408920985006264e-17,-0.0012795594296596668,-0.9999999999999653,,
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,pmhc,covariance_trace,0.02646038036263985,0.0,-0.02646038036263985,-1.0,,
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,pmhc,median_pairwise_cosine,0.0020243729990844666,-2.997602166487923e-17,-0.0020243729990844965,-1.0000000000000149,,
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,tcr,cliffs_delta_pn_vs_pp,0.32746552913727434,0.081177162848813,-0.24628836628846135,,-0.3513219114406762,-0.1368132170288935
