seed,split,model_name,k,purity_mean,purity_std,random_purity_expected,purity_enrichment,entropy_mean,entropy_std
49,test,pretrained_esmc_meanpool,5,0.14928571428571427,0.23114510858871704,0.03393176590851009,4.399585765392581,1.3176271986010057,0.3578770330086921
49,test,pretrained_esmc_meanpool,10,0.10678571428571428,0.14113199423206052,0.03393176590851009,3.1470721144793825,1.8926025655686527,0.28087636654647463
49,test,pretrained_esmc_meanpool,20,0.08008928571428572,0.0842031507693732,0.03393176590851009,2.3603040858595374,2.390617688559824,0.1988327459547309
55,test,pretrained_esmc_meanpool,5,0.15750000000000003,0.24256258397134783,0.03393176590851009,4.641668235737151,1.3001835572983846,0.3812096536531222
55,test,pretrained_esmc_meanpool,10,0.11446428571428573,0.14876178996322015,0.03393176590851009,3.3733665976275664,1.85898096507226,0.2797294470382776
55,test,pretrained_esmc_meanpool,20,0.08410714285714285,0.08862595527823433,0.03393176590851009,2.4787139898324235,2.3644141499072546,0.18822429183905318
31,test,finetuned_esmc_meanpool,5,0.16321428571428573,0.2580220584621812,0.033931765908510096,4.810073432498588,1.2623557292066734,0.41251676312876
31,test,finetuned_esmc_meanpool,10,0.11535714285714285,0.16435984352409597,0.033931765908510096,3.3996799096215398,1.8484429878320499,0.3341610323232164
31,test,finetuned_esmc_meanpool,20,0.0907142857142857,0.113284678431582,0.033931765908510096,2.6734324985878364,2.3606664858847304,0.2643286208932213
37,test,finetuned_esmc_meanpool,5,0.15392857142857141,0.24716737079087414,0.033931765908510096,4.536414987761249,1.2872022568226928,0.3950153535917849
37,test,finetuned_esmc_meanpool,10,0.11303571428571431,0.15808473815892382,0.033931765908510096,3.331265298437206,1.8542089490011253,0.3171808530658403
37,test,finetuned_esmc_meanpool,20,0.08812500000000001,0.10932856157015879,0.033931765908510096,2.59712389380531,2.353885383702284,0.2565481458478199
43,test,finetuned_esmc_meanpool,5,0.16035714285714286,0.24538573341428246,0.033931765908510096,4.725870834117869,1.2893524463678088,0.3862027859523724
43,test,finetuned_esmc_meanpool,10,0.11107142857142856,0.15336323096572038,0.033931765908510096,3.273376012050461,1.875671455315421,0.2813847239644001
43,test,finetuned_esmc_meanpool,20,0.08375,0.0982628126869105,0.033931765908510096,2.4681886650348335,2.372607359361919,0.2301341193382806
49,test,finetuned_esmc_meanpool,5,0.15142857142857144,0.23527665001188774,0.03393176590851009,4.462737714178122,1.2906605667272255,0.38047901555334346
49,test,finetuned_esmc_meanpool,10,0.11071428571428571,0.15257149545209878,0.03393176590851009,3.2628506872528718,1.8639547767888425,0.2995951946499939
49,test,finetuned_esmc_meanpool,20,0.08357142857142857,0.0967679214008697,0.03393176590851009,2.462926002636039,2.378234923251273,0.22989046825920753
55,test,finetuned_esmc_meanpool,5,0.16607142857142856,0.2559134798787932,0.03393176590851009,4.894276030879308,1.2736873086003413,0.4016579967648336
55,test,finetuned_esmc_meanpool,10,0.12000000000000001,0.16890403023187883,0.03393176590851009,3.53650913199021,1.8477043827752424,0.32710469042136897
55,test,finetuned_esmc_meanpool,20,0.09178571428571429,0.1113810567193469,0.03393176590851009,2.705008472980607,2.359336203869415,0.25195539743136064
31,test,onehot_vicreg,5,0.2275,0.31582233929853665,0.033931765908510096,6.704631896064771,1.1679306501385782,0.4890878619984889
31,test,onehot_vicreg,10,0.2005357142857143,0.27571284002211655,0.033931765908510096,5.909969873846733,1.6460494104715788,0.5545761885850563
31,test,onehot_vicreg,20,0.16125000000000003,0.20292118895909178,0.033931765908510096,4.752184146111844,2.132647056395408,0.4701282964259948
37,test,onehot_vicreg,5,0.22071428571428572,0.3028428231116004,0.033931765908510096,6.504650724910563,1.192055798959352,0.4669744396556092
37,test,onehot_vicreg,10,0.19071428571428573,0.2616967788904415,0.033931765908510096,5.620523441913011,1.6673083913625515,0.529560786299139
37,test,onehot_vicreg,20,0.1561607142857143,0.20222532312689107,0.033931765908510096,4.6021982677461875,2.110383653124267,0.509006899906649
43,test,onehot_vicreg,5,0.22857142857142856,0.3137983233784114,0.033931765908510096,6.73620787045754,1.163664862958276,0.4919266849804518
43,test,onehot_vicreg,10,0.1992857142857143,0.27077835653417154,0.033931765908510096,5.873131237055168,1.6563891577184793,0.5595450786853513
43,test,onehot_vicreg,20,0.15375,0.19363591111007422,0.033931765908510096,4.531152325362455,2.1428180002103456,0.4678655137286929
49,test,onehot_vicreg,5,0.2289285714285714,0.31501518427931474,0.03393176590851009,6.746733195255131,1.162919618921335,0.4836236807163136
49,test,onehot_vicreg,10,0.20410714285714285,0.2697901087996416,0.03393176590851009,6.015223121822633,1.6419047014072934,0.5416062952906214
49,test,onehot_vicreg,20,0.16553571428571426,0.2060462815802829,0.03393176590851009,4.878488043682922,2.1059272870054593,0.5087610198469052
55,test,onehot_vicreg,5,0.22214285714285714,0.306027042956024,0.03393176590851009,6.546752024100924,1.1806706343043403,0.4573710881955323
55,test,onehot_vicreg,10,0.1923214285714286,0.2614416834143527,0.03393176590851009,5.667887403502166,1.649960501838474,0.5238997529470355
55,test,onehot_vicreg,20,0.1563392857142857,0.19829629497166557,0.03393176590851009,4.607460930144983,2.120817380110859,0.47729899634474304
