model,model_label,split,score_type,n_seeds,n,global_auroc_mean,global_auroc_std,peptide_weighted_auroc_mean,peptide_weighted_auroc_std,peptide_macro_auroc_mean,peptide_macro_auroc_std,peptide_macro_mcclish_pauc0.1_mean,peptide_macro_mcclish_pauc0.1_std,global_mcclish_pauc0.1_mean,global_mcclish_pauc0.1_std
onehot_vicreg,One-hot VICReg,immrep_test,normalised_mse_score,5,10000,0.49751602222222224,0.010724416218650945,0.49878888888888884,0.011884570035902523,0.49878888888888895,0.011884570035902483,0.5005380116959064,0.00527728448554072,0.502026783625731,0.005406511269944259
onehot_vicreg,One-hot VICReg,immrep_test,tcr_norm_score,5,10000,0.5000002,3.3701668637558265e-07,0.5,9.614813431917819e-17,0.5,7.850462293418876e-17,0.5008912280701755,0.00017841529275510018,0.4999997660818714,3.2030558918560596e-07
onehot_vicreg,One-hot VICReg,test,cosine_score,5,3800,0.7282753462603878,0.007149232358477772,0.7289318768815173,0.01378300078926665,0.5864445045982538,0.049390693830929484,0.7445590277124717,0.027699875686296047,0.5990511736404723,0.003847235330201252
onehot_vicreg,One-hot VICReg,test,dot_product_score,5,3800,0.6940618836565097,0.017264398738693346,0.7085961098749614,0.02054527228449798,0.5627294592161934,0.05486248392836721,0.7311176183799797,0.029188642586505366,0.5972754045779268,0.0024363644709712454
onehot_vicreg,One-hot VICReg,test,full_score,5,3800,0.7206653185595566,0.002563373720418851,0.7332388379602769,0.0058249466146896856,0.6441209270574568,0.0337110286272678,0.7749055879185447,0.01893448373004102,0.5644015162560139,0.0021447162001833157
onehot_vicreg,One-hot VICReg,test,normalised_mse_score,5,3800,0.7282753462603878,0.007149232358477772,0.7289318768815173,0.01378300078926665,0.5864445045982538,0.049390693830929484,0.7445590277124717,0.027699875686296047,0.5990511736404723,0.003847235330201252
onehot_vicreg,One-hot VICReg,test,tcr_norm_score,5,3800,0.49999927977839337,3.1583806792127457e-07,0.4955219706007955,0.004265435317345352,0.5622141016883256,0.0280585534694723,0.7298496181998779,0.01540478826601042,0.4999994168246101,1.19781868531857e-06
raw_esmc_vicreg,Raw ESMC VICReg,immrep_test,cosine_score,5,10000,0.5066265777777778,0.005829105006371838,0.5048177777777778,0.008745549273702904,0.5048177777777778,0.008745549273702963,0.5066035087719298,0.00673474321592649,0.5051424561403508,0.0028974040107844945
raw_esmc_vicreg,Raw ESMC VICReg,immrep_test,dot_product_score,5,10000,0.5058177111111112,0.004319031764923684,0.5069293333333332,0.005766621579785156,0.5069293333333332,0.005766621579785156,0.5074783625730992,0.003870625893879271,0.5047809356725146,0.002045378531911674
raw_esmc_vicreg,Raw ESMC VICReg,immrep_test,full_score,5,10000,0.5099064222222223,0.006384595704109846,0.5071862222222221,0.0070539720707774685,0.5071862222222221,0.00705397207077749,0.5051812865497076,0.0034561255083244576,0.5029736842105264,0.0031016281408159456
raw_esmc_vicreg,Raw ESMC VICReg,immrep_test,normalised_mse_score,5,10000,0.5066265777777778,0.005829105006371838,0.5048177777777778,0.008745549273702904,0.5048177777777778,0.008745549273702963,0.5066035087719298,0.00673474321592649,0.5051424561403508,0.0028974040107844945
raw_esmc_vicreg,Raw ESMC VICReg,immrep_test,tcr_norm_score,5,10000,0.4999999999999999,6.206335383118183e-17,0.5,0.0,0.5,9.614813431917819e-17,0.50086783625731,0.00021572527928335854,0.5,0.0
raw_esmc_vicreg,Raw ESMC VICReg,test,cosine_score,5,3800,0.7666581163434902,0.0048440481326279166,0.7601267696392753,0.008232425975958016,0.6740813915978052,0.03960353608684382,0.7940014210063034,0.021730479461884316,0.6274258638285464,0.004945756739965667
raw_esmc_vicreg,Raw ESMC VICReg,test,dot_product_score,5,3800,0.759972243767313,0.009192634392152167,0.7575329519261162,0.007226457991409273,0.6696302641171828,0.0378385972103609,0.7889280488133069,0.02238518948892573,0.6143015016766293,0.005151508224359128
raw_esmc_vicreg,Raw ESMC VICReg,test,full_score,5,3800,0.7886876454293629,0.004302705336180549,0.7729720587007622,0.003922362438960742,0.7237903661176601,0.01270992880338822,0.8181901288990581,0.006898181233158692,0.6206213733780435,0.004737287386041003
raw_esmc_vicreg,Raw ESMC VICReg,test,normalised_mse_score,5,3800,0.7666581163434902,0.0048440481326279166,0.7601267696392753,0.008232425975958016,0.6740813915978052,0.03960353608684382,0.7940014210063034,0.021730479461884316,0.6274258638285464,0.004945756739965667
raw_esmc_vicreg,Raw ESMC VICReg,test,tcr_norm_score,5,3800,0.5,6.206335383118183e-17,0.490916124693097,0.003187586922666197,0.6301449062368409,0.03468415660082884,0.7610569463221224,0.020735727578975675,0.5,0.0
