model,model_label,split,stage,side,metric,peptide_balanced_mean,ci_low,ci_high,n_peptides
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,hla,covariance_trace,0.20432247296260778,0.08438334905031544,0.3451251814364603,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,hla,mean_var_per_dim,0.0026535386099039967,0.0010951496639953423,0.004583519242567489,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,hla,median_pairwise_cosine,0.02043211982982456,0.00732472705587912,0.035492018170650515,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,peptide,mean_latent_norm,3.789572846414309,3.72816427407978,3.8532893336381435,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,peptide,covariance_trace,3.3803191439414656e-05,2.5070276038669855e-19,0.0001014107086719973,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,peptide,mean_var_per_dim,1.8884464491293105e-07,1.076744960853939e-21,5.662804477824679e-07,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,peptide,median_pairwise_cosine,1.831297138438723e-06,-2.5997396723638898e-17,5.493891415345574e-06,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,pmhc,mean_latent_norm,4.978025327844541,4.918588570601401,5.040793674030178,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,pmhc,covariance_trace,0.2043562761540472,0.08154578239633027,0.3443937422343781,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,pmhc,mean_var_per_dim,0.0007982667037267469,0.0003523786315619717,0.0013658197076932054,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,pmhc,median_pairwise_cosine,0.009132426993124798,0.003387446614161816,0.016184437682261233,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,tcr,mean_latent_norm,5.445697019359375,5.396340364625726,5.495833414836926,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,tcr,covariance_trace,20.85082758752216,20.038051135361922,21.654287032914507,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,tcr,mean_var_per_dim,0.08144854526375844,0.07839556439514614,0.08461719752872501,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,tcr,median_pairwise_cosine,0.7320959934449802,0.7002469935372181,0.7647757089886796,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,hla,mean_latent_norm,1.2007057628153863,1.1945143344645264,1.2064527342912372,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,hla,covariance_trace,0.0006648741017483612,0.00024542338734015305,0.001245479568631477,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,hla,mean_var_per_dim,6.925771893212097e-07,2.61472420950118e-07,1.288573901317554e-06,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,hla,median_pairwise_cosine,0.00035914704516769704,0.00014383793203880652,0.0006071030560504346,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,peptide,mean_latent_norm,1.1141146941397766,1.1111233253765564,1.1169951416915815,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,peptide,covariance_trace,1.7440025774512105e-07,0.0,5.232007732353631e-07,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,peptide,mean_var_per_dim,1.8166693515116777e-10,0.0,5.409553054498732e-10,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,peptide,median_pairwise_cosine,1.3654836443699e-07,-3.186027341794023e-17,4.0964509336433593e-07,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,pmhc,mean_latent_norm,1.639666033968896,1.6351746194207588,1.6444386868341054,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,pmhc,covariance_trace,0.0006650485020061063,0.0002691538233101271,0.0012563386744834071,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,pmhc,mean_var_per_dim,3.4637942812818044e-07,1.27603643042818e-07,6.406485609932889e-07,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,pmhc,median_pairwise_cosine,0.0002463194303022731,8.041647132057539e-05,0.0004835007998893964,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,tcr,mean_latent_norm,0.9269298498597383,0.9250704687162337,0.9286905066771263,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,tcr,covariance_trace,0.010527073537816328,0.009973784380530865,0.011114213604749882,568
