split,category,model,metric,mean,std,n_seeds,seeds,n_pairs,n_pos,n_neg,n_peptides,n_pep_n_le_2,frac_pairs_n_le_2,note
test,completely_unseen,esm_vicreg_raw,pep_w_auroc,0.7220754716981131,0.024056501006892005,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,esm_vicreg_raw,pep_w_auroc_min2each,0.7479824561403509,0.048668995567797954,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,finetuned_esmc_meanpool,global_auroc,0.5472353431508753,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,finetuned_esmc_meanpool,global_auprc,0.528114424203058,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,finetuned_esmc_meanpool,pep_w_auroc,0.6322327044025157,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,finetuned_esmc_meanpool,pep_w_auroc_min2each,0.5859649122807017,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,onehot_composition,global_auroc,0.5431369824951375,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,onehot_composition,global_auprc,0.5378632822945193,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,onehot_composition,pep_w_auroc,0.5133647798742139,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,onehot_composition,pep_w_auroc_min2each,0.4364035087719299,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,onehot_vicreg,global_auroc,0.6027924423450959,0.024863429595111713,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,onehot_vicreg,global_auprc,0.618120177618037,0.038521879528930575,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,onehot_vicreg,pep_w_auroc,0.5969811320754718,0.03613059069372134,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,onehot_vicreg,pep_w_auroc_min2each,0.597280701754386,0.03976790931473521,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,pretrained_esmc_meanpool,global_auroc,0.44547096415671017,6.206335383118183e-17,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,pretrained_esmc_meanpool,global_auprc,0.46641020726774063,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,pretrained_esmc_meanpool,pep_w_auroc,0.4518867924528302,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,pretrained_esmc_meanpool,pep_w_auroc_min2each,0.45789473684210524,0.0,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,unseen_HLA,esm_vicreg_finetuned,global_auroc,0.6148794489092997,0.0281314696618834,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,esm_vicreg_finetuned,global_auprc,0.5964070664117671,0.022670597886576112,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,esm_vicreg_finetuned,pep_w_auroc,0.5969807438937873,0.03513677290978502,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
